CVEGEO	ola	defunciones	casos_totales	cfr
07113	01_ola_1	0	0	NA
07113	02_interola_1	0	0	NA
07113	03_ola_2	0	3	0
07113	04_interola_2	0	1	0
07113	05_ola_3	0	6	0
07113	06_interola_3	0	1	0
07113	07_ola_4	0	24	0
07114	01_ola_1	6	39	15.384615384615385
07114	02_interola_1	0	1	0
07114	03_ola_2	0	1	0
07114	04_interola_2	0	7	0
07114	05_ola_3	0	33	0
07114	06_interola_3	0	2	0
07114	07_ola_4	0	43	0
07115	01_ola_1	0	0	NA
07115	02_interola_1	0	0	NA
07115	03_ola_2	0	0	NA
07115	04_interola_2	0	0	NA
07115	05_ola_3	0	1	0
07115	06_interola_3	0	0	NA
07115	07_ola_4	0	15	0
07116	01_ola_1	1	5	20
07116	02_interola_1	0	1	0
07116	03_ola_2	0	1	0
07116	04_interola_2	0	0	NA
07116	05_ola_3	1	6	16.666666666666668
07116	06_interola_3	0	1	0
07116	07_ola_4	0	8	0
07117	01_ola_1	0	1	0
07117	02_interola_1	0	5	0
07117	03_ola_2	0	3	0
07117	04_interola_2	0	0	NA
07117	05_ola_3	0	14	0
07117	06_interola_3	0	2	0
07117	07_ola_4	0	28	0
07118	01_ola_1	0	0	NA
