CVEGEO	ola	dias_ola	n	pruebas_dia_promedio
04003	04_interola_2	77	1506	19.558441558441558
04003	05_ola_3	126	4443	35.26190476190476
04003	06_interola_3	56	2828	50.5
04003	07_ola_4	119	4847	40.73109243697479
04004	01_ola_1	105	78	0.7428571428571429
04004	02_interola_1	77	324	4.207792207792208
04004	03_ola_2	154	348	2.25974025974026
04004	04_interola_2	77	234	3.038961038961039
04004	05_ola_3	126	1253	9.944444444444445
04004	06_interola_3	56	1097	19.589285714285715
04004	07_ola_4	119	955	8.025210084033613
04005	01_ola_1	105	42	0.4
04005	02_interola_1	77	283	3.675324675324675
04005	03_ola_2	154	207	1.344155844155844
04005	04_interola_2	77	140	1.8181818181818181
04005	05_ola_3	126	368	2.9206349206349205
04005	06_interola_3	56	206	3.6785714285714284
04005	07_ola_4	119	243	2.042016806722689
04006	01_ola_1	105	21	0.2
04006	02_interola_1	77	253	3.2857142857142856
04006	03_ola_2	154	111	0.7207792207792207
04006	04_interola_2	77	38	0.4935064935064935
04006	05_ola_3	126	615	4.880952380952381
04006	06_interola_3	56	112	2
04006	07_ola_4	119	124	1.0420168067226891
04007	01_ola_1	105	68	0.6476190476190476
04007	02_interola_1	77	64	0.8311688311688312
04007	03_ola_2	154	78	0.5064935064935064
04007	04_interola_2	77	42	0.5454545454545454
04007	05_ola_3	126	134	1.0634920634920635
04007	06_interola_3	56	182	3.25
04007	07_ola_4	119	212	1.781512605042017
04008	01_ola_1	105	19	0.18095238095238095
04008	02_interola_1	77	64	0.8311688311688312
04008	03_ola_2	154	52	0.33766233766233766
04008	04_interola_2	77	43	0.5584415584415584
04008	05_ola_3	126	282	2.238095238095238
04008	06_interola_3	56	51	0.9107142857142857
04008	07_ola_4	119	69	0.5798319327731093
04009	01_ola_1	105	201	1.9142857142857144
04009	02_interola_1	77	923	11.987012987012987
04009	03_ola_2	154	935	6.071428571428571
04009	04_interola_2	77	318	4.12987012987013
04009	05_ola_3	126	1645	13.055555555555555
04009	06_interola_3	56	766	13.678571428571429
04009	07_ola_4	119	908	7.630252100840337
04010	01_ola_1	105	28	0.26666666666666666
04010	02_interola_1	77	68	0.8831168831168831
04010	03_ola_2	154	273	1.7727272727272727
04010	04_interola_2	77	87	1.12987012987013
04010	05_ola_3	126	628	4.984126984126984
04010	06_interola_3	56	489	8.732142857142858
04010	07_ola_4	119	498	4.184873949579832
04011	01_ola_1	105	82	0.780952380952381
04011	02_interola_1	77	180	2.3376623376623376
04011	03_ola_2	154	181	1.1753246753246753
04011	04_interola_2	77	52	0.6753246753246753
04011	05_ola_3	126	216	1.7142857142857142
04011	06_interola_3	56	160	2.857142857142857
04011	07_ola_4	119	147	1.2352941176470589
04999	05_ola_3	126	2	0.015873015873015872
04999	07_ola_4	119	1	0.008403361344537815
05001	01_ola_1	105	2	0.01904761904761905
05001	03_ola_2	154	14	0.09090909090909091
05001	04_interola_2	77	3	0.03896103896103896
05001	05_ola_3	126	10	0.07936507936507936
05001	06_interola_3	56	7	0.125
05001	07_ola_4	119	48	0.40336134453781514
05002	01_ola_1	105	501	4.771428571428571
05002	02_interola_1	77	2222	28.857142857142858
05002	03_ola_2	154	2817	18.292207792207794
05002	04_interola_2	77	1230	15.974025974025974
05002	05_ola_3	126	2908	23.07936507936508
05002	06_interola_3	56	1862	33.25
05002	07_ola_4	119	4711	39.588235294117645
05003	01_ola_1	105	57	0.5428571428571428
05003	02_interola_1	77	338	4.3896103896103895
05003	03_ola_2	154	668	4.337662337662338
05003	04_interola_2	77	190	2.4675324675324677
05003	05_ola_3	126	348	2.761904761904762
05003	06_interola_3	56	331	5.910714285714286
05003	07_ola_4	119	541	4.546218487394958
05004	01_ola_1	105	39	0.37142857142857144
05004	02_interola_1	77	47	0.6103896103896104
05004	03_ola_2	154	181	1.1753246753246753
05004	04_interola_2	77	41	0.5324675324675324
05004	05_ola_3	126	156	1.2380952380952381
05004	06_interola_3	56	241	4.303571428571429
05004	07_ola_4	119	687	5.773109243697479
05005	01_ola_1	105	4	0.0380952380952381
05005	02_interola_1	77	3	0.03896103896103896
05005	03_ola_2	154	33	0.21428571428571427
05005	04_interola_2	77	3	0.03896103896103896
05005	05_ola_3	126	38	0.30158730158730157
05005	06_interola_3	56	14	0.25
05005	07_ola_4	119	15	0.12605042016806722
05006	01_ola_1	105	77	0.7333333333333333
05006	02_interola_1	77	107	1.3896103896103895
05006	03_ola_2	154	392	2.5454545454545454
05006	04_interola_2	77	96	1.2467532467532467
05006	05_ola_3	126	260	2.0634920634920637
05006	06_interola_3	56	255	4.553571428571429
05006	07_ola_4	119	1053	8.84873949579832
05007	01_ola_1	105	205	1.9523809523809523
05007	02_interola_1	77	191	2.4805194805194803
05007	03_ola_2	154	1029	6.681818181818182
05007	04_interola_2	77	219	2.844155844155844
05007	05_ola_3	126	366	2.9047619047619047
05007	06_interola_3	56	460	8.214285714285714
05007	07_ola_4	119	1531	12.865546218487395
05008	01_ola_1	105	6	0.05714285714285714
05008	02_interola_1	77	7	0.09090909090909091
05008	03_ola_2	154	46	0.2987012987012987
05008	04_interola_2	77	19	0.24675324675324675
05008	05_ola_3	126	6	0.047619047619047616
05008	06_interola_3	56	14	0.25
05008	07_ola_4	119	33	0.2773109243697479
05009	01_ola_1	105	231	2.2
05009	02_interola_1	77	1134	14.727272727272727
05009	03_ola_2	154	1746	11.337662337662337
05009	04_interola_2	77	492	6.3896103896103895
05009	05_ola_3	126	700	5.555555555555555
05009	06_interola_3	56	917	16.375
05009	07_ola_4	119	1822	15.3109243697479
05010	01_ola_1	105	281	2.676190476190476
05010	02_interola_1	77	596	7.740259740259741
05010	03_ola_2	154	1577	10.24025974025974
05010	04_interola_2	77	594	7.714285714285714
05010	05_ola_3	126	1371	10.880952380952381
05010	06_interola_3	56	1024	18.285714285714285
05010	07_ola_4	119	3904	32.80672268907563
05011	01_ola_1	105	17	0.1619047619047619
05011	02_interola_1	77	70	0.9090909090909091
05011	03_ola_2	154	130	0.8441558441558441
05011	04_interola_2	77	18	0.23376623376623376
05011	05_ola_3	126	104	0.8253968253968254
05011	06_interola_3	56	133	2.375
05011	07_ola_4	119	256	2.1512605042016806
05012	02_interola_1	77	9	0.11688311688311688
05012	03_ola_2	154	32	0.2077922077922078
05012	04_interola_2	77	5	0.06493506493506493
05012	05_ola_3	126	9	0.07142857142857142
05012	06_interola_3	56	8	0.14285714285714285
05012	07_ola_4	119	20	0.16806722689075632
05013	01_ola_1	105	5	0.047619047619047616
05013	03_ola_2	154	48	0.3116883116883117
05013	05_ola_3	126	1	0.007936507936507936
05013	06_interola_3	56	3	0.05357142857142857
05013	07_ola_4	119	5	0.04201680672268908
05014	01_ola_1	105	5	0.047619047619047616
05014	02_interola_1	77	33	0.42857142857142855
05014	03_ola_2	154	43	0.2792207792207792
05014	04_interola_2	77	37	0.4805194805194805
05014	05_ola_3	126	16	0.12698412698412698
05014	06_interola_3	56	4	0.07142857142857142
05014	07_ola_4	119	24	0.20168067226890757
05015	01_ola_1	105	3	0.02857142857142857
05015	02_interola_1	77	4	0.05194805194805195
05015	03_ola_2	154	24	0.15584415584415584
05015	04_interola_2	77	4	0.05194805194805195
05015	05_ola_3	126	6	0.047619047619047616
05015	06_interola_3	56	1	0.017857142857142856
05015	07_ola_4	119	15	0.12605042016806722
05016	01_ola_1	105	44	0.41904761904761906
05016	02_interola_1	77	34	0.44155844155844154
05016	03_ola_2	154	122	0.7922077922077922
05016	04_interola_2	77	27	0.35064935064935066
05016	05_ola_3	126	33	0.2619047619047619
05016	06_interola_3	56	22	0.39285714285714285
05016	07_ola_4	119	72	0.6050420168067226
05017	01_ola_1	105	410	3.9047619047619047
05017	02_interola_1	77	820	10.64935064935065
05017	03_ola_2	154	1349	8.75974025974026
05017	04_interola_2	77	551	7.1558441558441555
05017	05_ola_3	126	1097	8.706349206349206
05017	06_interola_3	56	727	12.982142857142858
05017	07_ola_4	119	2505	21.050420168067227
05018	01_ola_1	105	1372	13.066666666666666
05018	02_interola_1	77	2477	32.16883116883117
05018	03_ola_2	154	7879	51.16233766233766
05018	04_interola_2	77	1993	25.883116883116884
05018	05_ola_3	126	4048	32.12698412698413
05018	06_interola_3	56	2233	39.875
05018	07_ola_4	119	11075	93.0672268907563
05019	01_ola_1	105	13	0.12380952380952381
05019	02_interola_1	77	84	1.0909090909090908
05019	03_ola_2	154	265	1.7207792207792207
05019	04_interola_2	77	112	1.4545454545454546
05019	05_ola_3	126	134	1.0634920634920635
05019	06_interola_3	56	51	0.9107142857142857
05019	07_ola_4	119	207	1.7394957983193278
05020	01_ola_1	105	170	1.619047619047619
05020	02_interola_1	77	841	10.922077922077921
05020	03_ola_2	154	2534	16.454545454545453
05020	04_interola_2	77	398	5.1688311688311686
05020	05_ola_3	126	1163	9.23015873015873
05020	06_interola_3	56	1536	27.428571428571427
05020	07_ola_4	119	3189	26.798319327731093
05021	01_ola_1	105	16	0.1523809523809524
05021	02_interola_1	77	47	0.6103896103896104
05021	03_ola_2	154	122	0.7922077922077922
05021	04_interola_2	77	24	0.3116883116883117
05021	05_ola_3	126	89	0.7063492063492064
05021	06_interola_3	56	92	1.6428571428571428
05021	07_ola_4	119	379	3.1848739495798317
05022	01_ola_1	105	75	0.7142857142857143
05022	02_interola_1	77	266	3.4545454545454546
05022	03_ola_2	154	971	6.305194805194805
05022	04_interola_2	77	358	4.64935064935065
05022	05_ola_3	126	978	7.761904761904762
05022	06_interola_3	56	532	9.5
05022	07_ola_4	119	2187	18.3781512605042
05023	01_ola_1	105	106	1.0095238095238095
05023	02_interola_1	77	41	0.5324675324675324
05023	03_ola_2	154	195	1.2662337662337662
05023	04_interola_2	77	61	0.7922077922077922
05023	05_ola_3	126	71	0.5634920634920635
05023	06_interola_3	56	22	0.39285714285714285
05023	07_ola_4	119	87	0.7310924369747899
05024	01_ola_1	105	54	0.5142857142857142
05024	02_interola_1	77	1192	15.480519480519481
05024	03_ola_2	154	1116	7.246753246753247
05024	04_interola_2	77	880	11.428571428571429
05024	05_ola_3	126	1316	10.444444444444445
05024	06_interola_3	56	1248	22.285714285714285
05024	07_ola_4	119	2587	21.73949579831933
05025	01_ola_1	105	1205	11.476190476190476
05025	02_interola_1	77	4186	54.36363636363637
05025	03_ola_2	154	5358	34.79220779220779
05025	04_interola_2	77	2039	26.48051948051948
05025	05_ola_3	126	5631	44.69047619047619
05025	06_interola_3	56	2436	43.5
05025	07_ola_4	119	6674	56.08403361344538
05026	01_ola_1	105	2	0.01904761904761905
05026	02_interola_1	77	14	0.18181818181818182
