CVEGEO	beds_PAFIL_IPRIV	beds_PAFIL_PDOM	beds_PDER_IMSS	beds_PDER_IMSSB	beds_PDER_ISTE	beds_PDER_SEGP	clinics_PAFIL_IPRIV	clinics_PAFIL_PDOM	clinics_PDER_IMSS	clinics_PDER_IMSSB	clinics_PDER_ISTE	clinics_PDER_SEGP	derechohabientes_PAFIL_IPRIV	derechohabientes_PAFIL_PDOM	derechohabientes_PDER_IMSS	derechohabientes_PDER_IMSSB	derechohabientes_PDER_ISTE	derechohabientes_PDER_SEGP	POBTOT
14113	0	0	104	0	11	0	0	0	34	2	25	0	3086	1324	112158	677	13080	55240	241218
14114	0	0	72	0	0	0	0	0	32	0	6	0	1131	264	102232	165	6352	40538	208539
14115	0	0	11	0	0	0	0	0	2	4	3	0	972	39	3914	485	856	32506	45259
14116	0	30	328	0	82	0	0	2	265	1	56	0	26636	2903	592934	1306	69742	173610	1051626
14117	0	0	0	0	0	0	0	0	6	0	7	0	1729	37	21704	261	3720	43274	106845
14118	0	0	73	0	0	0	0	0	41	6	3	0	4975	39	90623	658	5583	53851	216807
14119	0	0	13	0	0	0	0	0	21	0	2	0	996	83	42122	488	2616	36824	122976
14120	0	139	2678	0	0	0	0	89	884	0	114	0	77737	4686	1766775	4836	67180	185449	2993543
14121	0	0	125	0	11	0	0	0	46	2	25	0	2780	372	107885	536	11529	43704	208319
14122	0	0	14	0	0	0	0	0	7	1	4	0	761	98	38674	233	3203	31968	94511
14123	0	0	68	0	0	0	0	0	43	0	8	0	5961	646	145395	453	7384	56998	334139
14124	0	139	2414	0	0	0	0	82	832	1	110	0	52303	3051	1238944	4109	56723	174160	2240899
14125	0	0	73	0	0	0	0	0	44	1	5	0	6092	37	118775	419	5545	44517	262764
15001	0	0	100	0	0	0	0	0	47	3	5	0	1263	460	37871	1383	7749	149768	308319
15002	0	0	730	0	0	0	0	7	381	2	56	0	28386	19274	981783	7647	174856	325176	2436504
15003	0	0	72	0	0	0	0	0	60	3	14	0	5551	2454	189182	2655	18438	194366	551587
15004	0	0	0	0	0	0	0	0	1	3	1	0	387	72	2860	2046	1392	64368	94792
15005	0	0	394	11	76	0	0	0	174	26	59	0	13335	3684	488166	7221	50871	407582	1657180
15006	0	0	0	0	0	0	0	0	7	0	1	0	877	341	39026	303	4025	42146	134941
15007	0	60	0	0	0	0	0	4	24	13	3	0	2912	1562	125543	3850	15692	241560	673970
15008	0	0	0	0	0	0	0	0	4	2	10	0	670	652	7328	1564	11274	131677	221224
15009	0	0	0	0	0	0	0	0	14	2	1	0	2387	1009	49250	956	8904	75117	224508
15010	0	0	6	0	0	0	0	0	6	2	0	0	1046	2935	56082	296	3507	38167	167588
15011	0	0	663	0	0	0	0	7	378	2	74	0	28806	11733	843429	7740	146451	330590	2199202
15012	0	0	0	0	0	0	0	0	7	0	1	0	695	354	36954	269	3857	40344	128915
15013	0	940	1164	0	0	0	0	193	525	0	44	0	58562	48082	1252812	8447	111782	244338	2524206
15014	0	0	0	0	0	0	0	0	2	4	0	0	448	570	32292	682	5554	124004	253128
15015	0	0	0	0	0	0	0	0	14	2	4	0	1571	1636	27248	994	8567	86250	197084
15016	0	0	40	0	0	0	0	0	31	7	1	0	2975	2426	83970	1145	14458	70377	272928
15017	0	0	0	0	0	0	0	0	20	0	2	0	2323	1324	40682	882	8525	64361	192397
15018	0	22	633	0	76	0	0	13	229	1	55	0	26208	4351	532093	3608	53883	210408	1402205
15019	0	0	0	0	0	0	0	0	21	0	6	0	5221	791	114092	1169	10137	72758	326689
15020	0	0	1613	0	486	0	0	14	728	3	227	0	45782	19307	1596423	9015	273121	409663	3492689
15021	0	0	0	0	0	0	0	0	25	4	3	0	2586	898	93988	4223	13025	178871	482738
15022	0	55	97	0	0	0	0	13	74	2	10	0	5391	5582	133989	2043	38154	90017	463383
15023	0	0	0	0	0	0	0	0	15	0	1	0	5261	12249	253731	2615	17628	95836	612854
15024	0	0	138	0	196	0	0	0	133	0	42	0	23241	16342	877112	6262	70248	199318	1797061
15025	0	55	0	0	250	0	0	13	88	13	52	0	16715	15032	490731	4598	134049	367419	1595848
