V1	V2
07017	30061
07018	07013
07018	07021
07018	07029
07018	07060
07018	07067
07018	07090
07019	07007
07019	07024
07019	07041
07019	07052
07019	07075
07019	07083
07019	07099
07019	07104
07020	07008
07020	07069
07020	07030
07020	07051
07020	07083
07020	07106
07020	07107
07021	07012
07021	07018
07021	07029
07021	07033
07021	07060
07021	07079
07021	07092
07022	07014
07022	07026
07022	07049
07022	07066
07022	07081
07023	07026
07023	07044
07023	07049
07023	07056
07023	07078
07023	07093
07023	07111
07023	07113
07024	07004
07024	07007
07024	07019
07024	07038
07024	07052
07024	07064
07024	07078
07025	07068
07025	07033
07025	07042
07025	07043
07025	07060
07025	07067
07025	07084
07025	07090
07026	07022
07026	07023
07026	07049
07026	07056
07026	07066
07026	07093
07026	07112
07026	07113
07027	07002
07027	07044
07027	07063
07027	07085
07027	07086
07027	07101
07027	07106
07027	07108
07027	07111
07027	07122
07027	07123
07028	07002
07028	07098
07028	07110
07029	07013
07029	07018
07029	07021
07029	07063
07029	07079
07029	07085
07030	07008
07030	07011
07030	07020
07030	07034
07030	07080
07030	07083
07030	07125
07031	07059
07031	07065
07031	07066
07031	07077
07031	07082
07031	07100
07031	07109
07031	07112
07032	07001
07032	07003
07032	07040
07032	07071
07032	07057
07032	07080
07032	07120
07033	07068
07033	07021
07033	07025
07033	07060
07033	07062
07033	07092
07034	07006
07034	07011
07034	07030
07034	07083
07034	07099
07035	07055
07035	07087
07035	07089
07035	07102
07036	07006
07036	07010
07036	07011
07036	07070
07036	07080
07037	07040
07037	07054
07037	07089
07037	07103
07038	07024
07038	07064
07038	07078
07038	07093
07038	07094
07039	07005
07039	07072
07039	07076
07039	07081
07039	27015
07040	07003
07040	07032
07040	07037
07040	07054
07040	07071
07040	07057
07040	07103
07041	07019
07041	07052
07041	07099
07042	07005
07042	07025
07042	07072
07042	07067
07042	07084
07042	07091
07042	07121
07043	07068
07043	07025
07043	07045
07043	07084
07044	07013
07044	07023
07044	07027
07044	07049
07044	07085
07044	07111
07045	07005
07045	07068
07045	07043
07045	07084
07045	27016
07046	07009
07046	07017
07046	07061
07046	07108
07047	07013
07047	07014
07047	07072
07047	07067
07047	07073
07047	07081
07047	07118
07047	07121
07048	07068
07048	07074
07048	27004
07048	27008
07048	27016
07049	07013
07049	07014
07049	07022
07049	07023
07049	07026
07049	07044
07049	07113
07049	07119
07050	07065
07050	27007
07051	07001
07051	07003
07051	07008
07051	07069
07051	07020
07051	07120
07051	07117
07052	07004
07052	07019
07052	07024
07052	07041
07052	07059
07052	07099
07052	07115
07070	07010
07070	07036
07070	07053
07070	07057
07070	07080
07053	07006
07053	07010
07053	07070
07053	07057
07054	07037
07054	07040
07054	07089
07071	07003
07071	07032
07071	07040
07072	07005
07072	07039
07072	07042
07072	07047
07072	07081
07072	07118
07072	07121
07055	07035
07055	07102
07056	07023
07056	07026
07056	07093
07057	07032
07057	07040
07057	07070
07057	07053
07057	07080
07057	07089
07057	07103
07058	07098
07058	07106
07059	07004
07059	07031
07059	07052
07059	07064
07059	07065
07059	07112
07059	07114
07059	07115
07059	07116
07060	07018
07060	07021
07060	07025
07060	07033
07060	07090
07061	07012
07061	07017
07061	07046
07061	07086
07061	07092
07061	07101
07061	07108
07061	07124
07062	07068
07062	07033
07062	07088
07062	07092
07062	07124
07062	27008
07063	07027
07063	07029
07063	07079
07063	07085
07063	07101
07064	07004
07064	07024
07064	07038
07064	07059
07064	07093
07064	07112
07065	07016
07065	07031
07065	07050
07065	07059
07065	07077
07065	27007
07065	27012
07065	27017
07066	07022
07066	07026
07066	07031
07066	07081
07066	07082
07066	07109
07066	07112
07067	07013
07067	07018
07067	07025
07067	07042
07067	07047
07067	07073
07067	07090
07067	07091
07073	07047
07073	07067
07073	07091
07073	07121
07074	07048
07074	27002
07074	27004
07074	27006
07074	27008
07075	07007
07075	07019
07075	07083
07075	07106
07076	07039
07076	07081
07076	07096
07076	27015
07077	07031
07077	07065
07077	07096
07077	07100
07077	27012
07078	07007
07078	07023
07078	07024
07078	07038
07078	07093
07078	07094
07078	07098
07078	07110
07078	07111
07079	07012
07079	07021
07079	07029
07079	07063
07079	07101
07080	07011
07080	07030
07080	07032
07080	07036
07080	07070
07080	07057
07080	07125
07081	07014
07081	07022
07081	07039
07081	07047
07081	07072
07081	07066
07081	07076
07081	07096
07081	07109
07081	07118
07082	07031
07082	07066
07082	07112
07083	07019
07083	07020
07083	07030
07083	07034
07083	07075
07083	07099
07083	07104
07083	07106
07084	07005
07084	07025
07084	07042
07084	07043
07084	07045
07085	07013
07085	07027
07085	07029
07085	07044
07085	07063
07086	07027
07086	07061
07086	07101
07086	07108
07087	07035
07087	07089
07088	07068
07088	07062
07089	07015
07089	07035
07089	07037
07089	07054
07089	07057
07089	07087
07089	07102
07089	07103
07090	07018
07090	07025
07090	07060
07090	07067
07120	07001
07120	07008
07120	07032
07120	07051
07120	07125
07091	07042
07091	07067
07091	07073
07091	07121
07092	07012
07092	07021
07092	07033
07092	07061
07092	07062
07092	07124
07093	07023
07093	07026
07093	07038
07093	07056
07093	07064
07093	07078
07093	07112
07094	07007
07094	07038
07094	07078
07094	07098
07094	07106
07096	07076
07096	07077
07096	07081
07096	07100
07096	07109
07096	27012
07096	27015
07097	07009
07097	07069
07097	07107
07097	07108
07097	20141
07098	07002
07098	07028
07098	07058
07098	07078
07098	07094
07098	07106
07098	07110
07099	07019
07099	07034
07099	07041
07099	07052
07099	07083
07099	07104
07100	07031
07100	07077
07100	07096
07100	07109
07101	07012
07101	07027
07101	07061
07101	07063
07101	07079
07101	07086
07102	07015
07102	07035
07102	07055
07102	07089
07103	07037
07103	07040
07103	07057
07103	07089
07104	07019
07104	07083
07104	07099
07105	07015
07106	07002
07106	07007
07106	07020
07106	07027
07106	07058
07106	07075
07106	07083
07106	07094
07106	07098
07106	07107
07106	07122
07106	07123
07107	07069
07107	07020
07107	07097
07107	07106
07107	07108
07107	07122
07108	07009
07108	07027
07108	07046
07108	07061
07108	07086
07108	07097
07108	07107
07108	07122
07109	07031
07109	07066
07109	07081
07109	07096
07109	07100
07110	07002
07110	07028
07110	07078
07110	07098
07110	07111
07111	07002
07111	07023
07111	07027
07111	07044
07111	07078
07111	07110
07112	07026
07112	07031
07112	07059
07112	07064
07112	07066
07112	07082
07112	07093
07113	07023
07113	07026
07113	07049
07113	07119
07114	07059
07114	07116
07115	07052
07115	07059
07116	07059
07116	07114
07117	07008
07117	07051
07118	07047
07118	07072
07118	07081
07119	07049
07119	07113
07121	07042
07121	07047
07121	07072
07121	07073
07121	07091
07122	07027
07122	07106
07122	07107
07122	07108
07123	07002
07123	07027
07123	07106
07124	07017
07124	07061
07124	07062
07124	07092
07124	20407
07124	27008
07124	30061
07125	07008
07125	07030
07125	07080
07125	07120
08001	08002
08001	08005
08001	08010
08001	08015
08001	08019
08001	08028
08001	08037
08002	08001
08002	08004
08002	08015
08002	08019
08002	08038
08002	08052
08002	08055
08003	08011
08003	08014
08003	08032
08003	08036
08003	08039
08003	08044
08003	08058
08003	08067
08004	08002
08004	08019
08004	08055
08005	08001
08005	08010
08005	08035
08005	08037
08005	08050
08006	08017
08006	08031
08006	08048
08007	08027
08007	08029
08007	08049
08007	08056
08007	08059
08007	08064
08007	10009
08007	10017
08008	08027
08008	08046
08008	08065
08008	25007
08009	08012
08009	08027
08009	08031
08009	08041
08009	08051
08009	08065
08010	08001
08010	08005
08010	08019
08010	08023
08010	08034
08010	08048
08010	08050
08011	05034
08011	08003
08011	08016
08011	08036
08011	08038
08011	08042
08011	08052
08011	08058
08011	08062
08012	08009
08012	08018
08012	08027
08012	08031
08012	08049
08012	08057
08013	08023
08013	08034
08013	08035
08013	08040
08013	08050
08013	26010
08013	26031
08013	26040
08014	08003
08014	08036
08014	08039
08014	08044
08014	10010
08014	10017
08015	08001
08015	08002
08015	08028
08015	08052
08016	08011
08016	08058
08016	08062
08017	08006
08017	08018
08017	08024
08017	08026
08017	08031
08017	08048
08017	08054
08018	08012
08018	08017
08018	08022
08018	08026
08018	08031
08018	08057
08019	08001
08019	08002
08019	08004
08019	08010
08019	08024
08019	08048
08019	08054
08019	08055
